Fecha;Anio;Mes;Linea;Línea Unificada;Canal de distribución;Fac Impo Bruto;Costo Total Com;Fac Kilos;Comercial Kilos;Rendimiento;Precio
ene-17;2017;Enero;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;40507194;18106015;946284;787027;22401179;43
ene-17;2017;Enero;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;23120025;13045346;544148;580050;10074679;42
ene-17;2017;Enero;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;9949504;4772525;233767;215343;5176979;43
ene-17;2017;Enero;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;43702695;28502122;1053401;1268247;15200572;41
ene-17;2017;Enero;YERBA MATE TRADICIONAL;Yerba Mate;Mayoristas;3998780;2013259;92956;94017;1985520;43
ene-17;2017;Enero;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;1317510;748379;31730;34054;569131;42
ene-17;2017;Enero;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;804058;415264;20638;19332;388794;39
ene-17;2017;Enero;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;4329;2452;116;116;1877;37
ene-17;2017;Enero;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;83395;58214;2011;2680;25181;41
feb-17;2017;Febrero;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;39547883;26034938;914951;1162251;13512945;43
feb-17;2017;Febrero;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;27290079;16130603;645162;728448;11159476;42
feb-17;2017;Febrero;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;9700307;6245419;226729;286280;3454887;43
feb-17;2017;Febrero;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;65348064;8373546;1569198;364148;56974518;42
feb-17;2017;Febrero;YERBA MATE TRADICIONAL;Yerba Mate;Mayoristas;3707761;2339516;87013;104843;1368245;43
feb-17;2017;Febrero;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;1382828;733055;33461;33470;649772;41
feb-17;2017;Febrero;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;877677;297202;21205;13730;580475;41
feb-17;2017;Febrero;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;5395;3055;133;139;2340;41
feb-17;2017;Febrero;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;46521;43988;1220;1851;2533;38
mar-17;2017;Marzo;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;56378030;26661692;1259998;1175409;29716338;45
mar-17;2017;Marzo;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;35794625;16236828;822590;742255;19557797;44
mar-17;2017;Marzo;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;12639933;4821251;288894;217898;7818682;44
mar-17;2017;Marzo;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;38351669;21985439;886916;978151;16366230;43
mar-17;2017;Marzo;YERBA MATE TRADICIONAL;Yerba Mate;Mayoristas;5780537;1722859;130357;76975;4057677;44
mar-17;2017;Marzo;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;1610989;717435;37426;32171;893554;43
mar-17;2017;Marzo;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;1139038;566523;25967;25740;572515;44
mar-17;2017;Marzo;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;4754;1907;117;91;2848;41
mar-17;2017;Marzo;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;93127;59658;2531;2756;33469;37
abr-17;2017;Abril;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;48953996;21304243;1112177;953072;27649753;44
abr-17;2017;Abril;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;28242560;14888000;629824;676337;13354560;45
abr-17;2017;Abril;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;12070843;6581403;266524;302882;5489441;45
abr-17;2017;Abril;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;43780274;32609475;975973;1475720;11170799;45
abr-17;2017;Abril;YERBA MATE TRADICIONAL;Yerba Mate;Mayoristas;2940665;1759630;61603;78940;1181035;48
abr-17;2017;Abril;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;1508997;905353;34419;41219;603645;44
abr-17;2017;Abril;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;597601;362868;15911;16797;234733;38
abr-17;2017;Abril;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;6696;3571;166;166;3125;40
abr-17;2017;Abril;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;85664;52145;2226;2440;33519;38
may-17;2017;Mayo;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;44194431;29124615;988728;1306344;15069816;45
may-17;2017;Mayo;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;35102755;14480810;777898;652557;20621945;45
may-17;2017;Mayo;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;11621836;5039585;261088;236790;6582251;45
may-17;2017;Mayo;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;49709261;26509961;1112804;1213444;23199300;45
may-17;2017;Mayo;YERBA MATE TRADICIONAL;Yerba Mate;Mayoristas;3861532;1564986;82887;71295;2296547;47
may-17;2017;Mayo;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;1691678;792536;38293;36783;899141;44
may-17;2017;Mayo;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;752846;418696;18087;19189;334150;42
may-17;2017;Mayo;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;4957;2608;121;121;2350;41
may-17;2017;Mayo;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;48641;38886;1296;1752;9755;38
jun-17;2017;Junio;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;56103195;30936758;1210128;1295545;25166438;46
jun-17;2017;Junio;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;30617996;16560833;675066;744977;14057163;45
jun-17;2017;Junio;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;12761862;7200153;283526;319727;5561708;45
jun-17;2017;Junio;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;59542004;30931805;1329419;1356623;28610199;45
jun-17;2017;Junio;YERBA MATE TRADICIONAL;Yerba Mate;Mayoristas;3955849;2866142;84657;126378;1089707;47
jun-17;2017;Junio;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;1892080;1116703;42537;45940;775377;44
jun-17;2017;Junio;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;1061474;492359;23610;22311;569115;45
jun-17;2017;Junio;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;33851;11768;828;542;22083;41
jun-17;2017;Junio;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;41811;52535;1133;2307;-10724;37
jul-17;2017;Julio;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;61291590;19514106;1226052;807707;41777484;50
jul-17;2017;Julio;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;29509983;14406546;633482;616935;15103436;47
jul-17;2017;Julio;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;13200737;5394026;282008;230164;7806711;47
jul-17;2017;Julio;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;56929480;28577083;1258913;1233298;28352397;45
jul-17;2017;Julio;YERBA MATE TRADICIONAL;Yerba Mate;Mayoristas;4929246;1679248;103784;70599;3249998;47
jul-17;2017;Julio;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;1911125;767324;41548;33679;1143801;46
jul-17;2017;Julio;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;1043828;570565;24076;25107;473263;43
jul-17;2017;Julio;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;19852;4839;455;214;15013;44
jul-17;2017;Julio;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;65551;37510;1634;1564;28041;40
ago-17;2017;Agosto;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;51985683;31811390;1055759;1264118;20174293;49
ago-17;2017;Agosto;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;30881667;16934491;633761;702490;13947175;49
ago-17;2017;Agosto;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;11368189;5728918;234467;238589;5639271;48
ago-17;2017;Agosto;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;69065537;30827040;1462330;1249387;38238497;47
ago-17;2017;Agosto;YERBA MATE TRADICIONAL;Yerba Mate;Mayoristas;3866892;2220685;73897;90349;1646207;52
ago-17;2017;Agosto;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;1820601;1127524;38406;46765;693077;47
ago-17;2017;Agosto;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;448174;271705;12182;11278;176469;37
ago-17;2017;Agosto;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;1818;950;40;40;868;45
ago-17;2017;Agosto;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;85289;63737;2151;2630;21552;40
sep-17;2017;Septiembre;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;60587143;31443057;1236849;1264001;29144086;49
sep-17;2017;Septiembre;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;37578507;19885055;766850;821234;17693452;49
sep-17;2017;Septiembre;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;12477218;7498773;258287;311495;4978445;48
sep-17;2017;Septiembre;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;66120031;24746204;1376845;907005;41373827;48
sep-17;2017;Septiembre;YERBA MATE TRADICIONAL;Yerba Mate;Mayoristas;5779166;3242421;115090;131409;2536746;50
sep-17;2017;Septiembre;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2283896;1146274;48224;47361;1137622;47
sep-17;2017;Septiembre;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;648952;681137;16974;27522;-32185;38
sep-17;2017;Septiembre;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;9626;5375;207;207;4251;47
sep-17;2017;Septiembre;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;62568;49532;1974;1925;13036;32
oct-17;2017;Octubre;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;80954881;30666400;1553382;1103479;50288481;52
oct-17;2017;Octubre;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;34880338;13916117;707086;555611;20964221;49
oct-17;2017;Octubre;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;12820760;4775596;264733;194575;8045165;48
oct-17;2017;Octubre;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;38681620;37570563;768299;1499262;1111057;50
oct-17;2017;Octubre;YERBA MATE TRADICIONAL;Yerba Mate;Mayoristas;4558519;1589082;89624;62908;2969436;51
oct-17;2017;Octubre;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;1980628;934879;39590;38016;1045749;50
oct-17;2017;Octubre;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;1092159;342642;24463;13809;749517;45
oct-17;2017;Octubre;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;6372;3316;138;138;3056;46
oct-17;2017;Octubre;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;81452;56101;2032;2301;25351;40
nov-17;2017;Noviembre;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;41805767;20326427;833221;772633;21479340;50
nov-17;2017;Noviembre;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;31629829;16364352;600611;688715;15265477;53
nov-17;2017;Noviembre;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;12929369;7162994;252301;289969;5766376;51
nov-17;2017;Noviembre;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;90393121;28533511;1754704;1143386;61859611;52
nov-17;2017;Noviembre;YERBA MATE TRADICIONAL;Yerba Mate;Mayoristas;4234138;2582217;79935;101918;1651922;53
nov-17;2017;Noviembre;YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2503069;1276539;49599;51143;1226530;50
nov-17;2017;Noviembre;YERBA MATE TRADICIONAL;Yerba Mate;Grandes Mayoristas;1170283;579228;24909;23778;591055;47
nov-17;2017;Noviembre;YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;531;254;10;10;277;56
nov-17;2017;Noviembre;YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;65506;82480;1505;3260;-16973;44
